author_clean,race,gender,log10_hits,count
Adam Fitzgerald,white,male,4.84010609445676,1
Adam Foulds,white,male,4.80888586735981,2
Adam Gellert,white,male,3.92479599579791,1
Adam Gidwitz,white,male,5.62531245096167,5
Adam Gopnik,white,male,5.19312459835446,6
Adam Grant,white,male,6.33041377334919,8
Adam Hamilton,white,male,5.47421626407626,4
Adam Hargreaves,white,male,5.16136800223498,1
Adam Haslett,white,male,4.67394199863409,4
Adam Hochschild,white,male,5.24303804868629,2
Adam Johnson,white,male,6.28555730900777,10
Adam Kirk Smith,white,male,3.88874096068289,10
Adam Kirsch,white,male,4.91750550955255,1
Adam Kotsko,white,male,4.79379038469082,1
Adam Kovacevic,white,male,3.89486965674525,2
Adam Lambert,white,male,6.42975228000241,2
Adam Langer,white,male,4.43136376415899,5
Adam Leipzig,white,male,4.19312459835446,1
Adam Levine,white,male,6.59328606702046,6
Adam LiVecchi,white,male,4.07918124604763,8
Adam Lindsay Gordon,white,male,5.02118929906994,1
Adam M. Grant,white,male,5.04921802267018,5
Adam Makos,white,male,5.59439255037543,2
Adam McKay,white,male,5.85430604180108,10
Adam McOmber,white,male,3.96425963019685,2
Adam Michnik,white,male,5.66745295288995,2
Adam Mickiewicz,white,male,6.33041377334919,1
Adam Nevill,white,male,5.609594409,5
Adam Nicolson,white,male,4.96520170102591,2
Adam Oakley,white,male,4.60205999132796,1
Adam Peaty,white,male,6.66745295288995,1
Adam Phillips,white,male,2.75663610824585,9
Adam Rapp,white,male,4.88252453795488,4
Adam Rex,white,male,5.11394335230684,10
Adam Richman,white,male,5.23044892137827,2
Adam Roberts,white,male,5.68574173860226,3
Adam Rodriguez,latino,male,5.549003,1
Adam Ross,white,male,6.13672056715641,1
Adam S. McHugh,white,male,4.21748394421391,3
Adam Sandler,white,male,7.85369821177617,4
Adam Savage,white,male,6.13033376849501,2
Adam Schiff,white,male,6.62013605497376,4
Adam Scott Wolf,white,male,4.90254677931399,1
Adam Selzer,white,male,5.72015930340596,2
Adam Shankman,white,male,5.36921585741014,1
Adam Silver,white,male,6.76117581315573,1
Adam Silvera,latino,male,6.33645973384853,10
Adam Smith,white,male,6.9576072870601,10
Adam Sternbergh,white,male,5.34830486304816,1
Adam Steven Page,white,male,2.4996870826184,1
Adam Weishaupt,white,male,5.07188200730613,4
Adam West,white,male,6.27875360095283,3
Adam Young,white,male,5.66464197555613,7
Adam Zagajewski,white,male,5.6159500516564,2
Adaria Armstrong,black,female,3.503791,1
Addison Gayle Jr.,black,male,3.981819,1
Addison Mizner,white,male,4.93094903116752,3
Addison Moore,white,female,4.7481880270062,8
Adeagbo Caleb Adewumi,black,male,1.633468,1
Adedayo kingjerry,black,male,2.10037054511756,2
Adela Knight,white,female,3.38916608436453,1
Adela Rogers St. John,white,female,3.96848294855394,2
Adelaide A. Proctor,white,female,3.92634244662566,1
Adelaide Crapsey,white,female,4.60314437262018,10
Adelaide Hoodless,white,female,5.16435285578444,1
Adelaide Proctor,white,female,4.14612803567824,4
Adelbert Ames,white,male,4.85247999363686,1
Adelbert von Chamisso,white,male,5.70329137811866,1
Adele,white,female,8.033423755,5
Adele Adkins,white,female,5.67209785793572,1
Adele Ashworth,white,female,4.53781909507327,1
Adele Green,white,female,0.845098040014257,4
Adele Griffin,white,female,4.44715803134222,3
Adele Kenny,white,female,4.34242268082221,2
Adele Parks,white,female,5.25285303097989,3
Adele Rickerby,white,female,2.855519156,1
Adele Rose,white,female,5.10380372095596,10
Adele Theron,white,female,3.99519629159718,1
Adelheid Manefeldt,white,female,3.32633586092875,1
Adeline Yen Mah,asian,female,5.28330122870355,4
Adelle Waldman,white,female,4.72916479,2
Adelyn Birch,white,female,3.86923171973098,4
Ademiju Ige,black,male,1.98677173426624,4
Adeo Ressi,white,male,4.59769518592551,1
Adetokunbo O. Adeoye,black,male,1.973128,1
Adewale Osunsakin,black,male,1.99122607569249,2
Adeyemo Akin,black,male,3.170262,1
Adharanand Finn,white,male,4.88479536394898,1
Adhish Mazumder,asian,male,3.120573931,10
Adi Da Samraj,white,male,5.11058971029925,2
Adi Godrej,asian,male,4.954243,1
Adi Shankaracarya,asian,male,6.04921802267018,2
Adina Rishe Gewirtz,white,female,3.68484536164441,1
Adithya Zen,asian,male,3.307496,1
Aditi Agarwal,asian,female,5.41830129131975,2
Aditi Dufare,asian,female,2.70070371714502,5
Aditi Khorana,asian,female,4.184691,1
Aditi Mathur Kumar,asian,female,4.06818586174616,7
Aditi Vyas,asian,female,4.431364,1
Aditya Ajmera,asian,male,3.522444234,10
Aditya Bhaskara,asian,male,4.14301480025409,4
Aditya Doke,asian,male,3.11059,1
Aditya Kandari,asian,male,3.17026171539496,4
Aditya Mahajan,asian,male,5.161368,2
Aditya Pandya,asian,male,4.68214507637383,5
Aditya Sardana,asian,male,3.562293,1
Aditya.Pawar,asian,male,5.136721,1
Adlai E. Stevenson,white,male,6.029383778,10
Adlai E. Stevenson II,white,male,4.32633586092875,10
Adlai Ewing Stevenson,white,male,4.40483371661994,2
Adlai Stevenson,white,male,5.68930885912362,8
Admiral Chester W. Nimitz,white,male,5.13672056715641,2
